Hãng,Tên sản phẩm,Socket,Chuẩn RAM (DDR4/DDR5),Form factor (ATX/mATX/ITX),Giá TB (VNĐ),Ảnh
MSI,MAG X870 TOMAHAWK WIFI,AM5,DDR5,ATX,8.200.000 đ,msi-mag-x870-tomahawk-wifi-1.webp|msi-mag-x870-tomahawk-wifi-2.webp|msi-mag-x870-tomahawk-wifi-3.webp
MSI,PRO B860M-A WIFI,LGA1851,DDR5,mATX,3.700.000 đ,msi-pro-b860m-a-wifi-1.webp|msi-pro-b860m-a-wifi-2.webp|msi-pro-b860m-a-wifi-3.webp
MSI,PRO H610M-E,LGA1700,DDR4,mATX,1.890.000 đ,msi-pro-h610m-e-1.webp|msi-pro-h610m-e-2.webp|msi-pro-h610m-e-3.webp
MSI,MPG Z890 CARBON WIFI,LGA1851,DDR5,ATX,9.900.000 đ,msi-mpg-z890-carbon-wifi-1.webp|msi-mpg-z890-carbon-wifi-2.webp|msi-mpg-z890-carbon-wifi-3.webp
MSI,MAG Z890 TOMAHAWK WIFI,LGA1851,DDR5,ATX,7.900.000 đ,msi-mag-z890-tomahawk-wifi-1.webp|msi-mag-z890-tomahawk-wifi-2.webp|msi-mag-z890-tomahawk-wifi-3.webp
MSI,PRO Z890-P WIFI,LGA1851,DDR5,ATX,5.800.000 đ,msi-pro-z890-p-wifi-1.webp|msi-pro-z890-p-wifi-2.webp|msi-pro-z890-p-wifi-3.webp
MSI,MEG Z890 GODLIKE,LGA1851,DDR5,ATX,31.900.000 đ,msi-meg-z890-godlike-1.webp|msi-meg-z890-godlike-2.webp|msi-meg-z890-godlike-3.webp
MSI,MEG X870E GODLIKE,AM5,DDR5,ATX,29.900.000 đ,msi-meg-z870e-godlike-1.webp|msi-meg-z870e-godlike-2.webp|msi-meg-z870e-godlike-3.webp
Gigabyte,B760M AORUS ELITE AX,LGA1700,DDR5,mATX,4.190.000 đ,gigabyte-b760m-aorus-elite-ax-1.png|gigabyte-b760m-aorus-elite-ax-2.png|gigabyte-b760m-aorus-elite-ax-3.png
Gigabyte,B840M DS3H WIFI,AM5,DDR5,mATX,2.990.000 đ,gigabyte-b840m-ds3h-wifi-1.png|gigabyte-b840m-ds3h-wifi-2.png|gigabyte-b840m-ds3h-wifi-3.png|gigabyte-b840m-ds3h-wifi-4.png
Gigabyte,B650M AORUS ELITE AX,AM5,DDR5,mATX,4.390.000 đ,gigabyte-b650m-aorus-elite-ax-1.png|gigabyte-b650m-aorus-elite-ax-2.png|gigabyte-b650m-aorus-elite-ax-3.png
Gigabyte,X870 AORUS ELITE WIFI 7,AM5,DDR5,ATX,7.990.000 đ,gigabyte-x870-aorus-elite-wifi-7-1.png|gigabyte-x870-aorus-elite-wifi-7-2.png|gigabyte-x870-aorus-elite-wifi-7-3.png
Gigabyte,B860M AORUS PRO AX,LGA1851,DDR5,mATX,4.890.000 đ,gigabyte-b860m-aorus-pro-wifi-7-1.png|gigabyte-b860m-aorus-pro-wifi-7-2.png|gigabyte-b860m-aorus-pro-wifi-7-3.png
Gigabyte,Z890 AORUS MASTER,LGA1851,DDR5,ATX,12.990.000 đ
Gigabyte,A620M H ,AM5,DDR5,mATX,2.190.000 đ
Gigabyte,Z890 AORUS ELITE WIFI 7,LGA1851,DDR5,ATX,7.490.000 đ
Gigabyte,H610M H V2,LGA1700,DDR4,mATX,1.790.000 đ
Gigabyte,X870E AORUS MASTER ,AM5,DDR5,ATX,11.490.000 đ
Gigabyte,Z890I AORUS ULTRA,LGA1851,DDR5,ITX,8.990.000 đ
Gigabyte,B760 GAMING X AY,LGA1700,DDR5,mATX,3.490.000 đ
ASrock,B760M Steel Legend WIFI,LGA1700,DDR5,mATX,3.890.000 đ
ASrock,B650M Pro RS,AM5,DDR5,mATX,3.490.000 đ
ASrock,X870 Taichi,AM5,DDR5,ATX,10.990.000 đ
ASrock,Z890 Taichi OCF,LGA1851,DDR5,ATX,14.990.000 đ
ASrock,A620M -HDV/M.2+,AM5,DDR5,mATX,2.190.000 đ
ASrock,B850 Pro RS,AM5,DDR5,ATX,4.790.000 đ
ASrock,B860 Steel Lagend WIFI,LGA1851,DDR5,mATX,4.290.000 đ
ASrock,H610M-HDV/M.2 R2.0,LGA1700,DDR4,mATX,1.690.000 đ
ASrock,X870E Taichi Lite,AM5,DDR5,ATX,9.890.000 đ
ASrock,Z890 Steel Legend WIFI,LGA1851,DDR5,ATX,6.990.000 đ
ASrock,B760M Pro RS/D4,LGA1700,DDR4,mATX,2.990.000 đ
ASrock,Z890 Phantom Gaming-ITX/TB,LGA1851,DDR4,ITX,8.490.000 đ
ASrock,B650 LiveMixer ,AM5,DDR5,ATX,4.590.000 đ
